Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
402340	KR7402340004	SK스퀘어	KOSPI		75500	2	-2500	-3.21	75700	77100	73100	391809	29624964500	10493068218000	138981036	STK
316140	KR7316140003	우리금융지주	KOSPI		13930	2	-80	-0.57	13850	14090	13830	880023	12293641540	10344299608930	742591501	STK
010130	KR7010130003	고려아연	KOSPI		460000	2	-3000	-0.65	458000	460500	453000	29469	13480695500	9617950480000	20908588	STK
010950	KR7010950004	S-Oil	KOSPI		83500	1	3800	4.77	81500	84000	81300	934859	77678198100	9400663132000	112582792	STK
352820	KR7352820005	하이브	KOSPI		224000	1	3000	1.36	220000	228000	218500	204395	45922563000	9330069728000	41652097	STK
030200	KR7030200000	KT	KOSPI		36150	2	-200	-0.55	36000	36550	35900	525240	19041277198	9296514207750	257164985	STK
047050	KR7047050000	포스코인터내셔널	KOSPI		48700	2	-1700	-3.37	49550	50000	48650	514683	25227368200	8567439775600	175922788	STK
009540	KR7009540006	HD한국조선해양	KOSPI		119600	2	-1400	-1.16	119600	121300	119200	121020	14510665300	8464464673600	70773116	STK
042660	KR7042660001	한화오션	KOSPI		27150	1	1300	5.03	25450	27150	25450	1973968	52398613100	8317644107850	306358899	STK
450080	KR7450080007	에코프로머티	KOSPI		117500	2	-1600	-1.34	120600	125500	115900	497509	60122915700	8105763115000	68985218	STK
090430	KR7090430000	아모레퍼시픽	KOSPI		133800	1	1400	1.06	131100	136800	131000	210633	28408244300	7826331154200	58492759	STK
003490	KR7003490000	대한항공	KOSPI		21100	2	-150	-0.71	21100	21300	21000	815889	17220724000	7769455947100	368220661	STK
010140	KR7010140002	삼성중공업	KOSPI		8660	2	-80	-0.92	8580	8840	8580	3646034	31606757710	7620800000000	880000000	STK
267260	KR7267260008	HD현대일렉트릭	KOSPI		194400	2	-4300	-2.16	193100	202000	189000	451391	87529364500	7007563044000	36047135	STK
326030	KR7326030004	SK바이오팜	KOSPI		88400	2	-1100	-1.23	88700	89500	87800	69268	6124342600	6922891300000	78313250	STK
005830	KR7005830005	DB손해보험	KOSPI		96500	1	1400	1.47	94200	97900	94100	136267	13154986600	6832200000000	70800000	STK
161390	KR7161390000	한국타이어앤테크놀로지	KOSPI		54900	1	900	1.67	52900	55900	52900	180302	9907292100	6800741288100	123875069	STK
022100	KR7022100002	포스코DX	KOSPI		44150	2	-1550	-3.39	44700	45300	43900	913033	40598596750	6712333285350	152034729	STK
001570	KR7001570001	금양	KOSPI		111600	2	-3200	-2.79	112000	114300	109900	345479	38620949200	6478384129200	58050037	STK
086280	KR7086280005	현대글로비스	KOSPI		172500	2	-600	-0.35	171600	176000	171600	77648	13472171000	6468750000000	37500000	STK
348370	KR7348370008	엔켐	KOSDAQ	벤처기업부	344500	1	9000	2.68	330000	349500	300000	1413282	462573356500	6338271192500	18398465	KSQ
066970	KR7066970005	엘앤에프	KOSPI		166000	2	-3400	-2.01	169000	171700	165600	268305	45010122200	6018494838000	36255993	STK
051900	KR7051900009	LG생활건강	KOSPI		370500	2	-12500	-3.26	377500	380000	370000	82789	30871874000	5786541988500	15618197	STK
000100	KR7000100008	유한양행	KOSPI		72100	2	-1300	-1.77	71800	72700	71000	335019	24107154200	5783073514400	80209064	STK
267250	KR7267250009	HD현대	KOSPI		71200	1	1000	1.42	69700	72000	69700	227575	16268396900	5624307652000	78993085	STK
088980	KR7088980008	맥쿼리인프라	KOSPI		12660	2	-30	-0.24	12670	12680	12650	684454	8667182730	5516991954300	435781355	STK
005387	KR7005382007	현대차2우B	KOSPI		146500	2	-700	-0.48	145700	148700	144800	89260	13158624800	5291667460500	36120597	STK
011790	KR7011790003	SKC	KOSPI		138100	1	7500	5.74	128900	144100	128000	2382564	330233319400	5229611953800	37868298	STK
011170	KR7011170008	롯데케미칼	KOSPI		120700	2	-700	-0.58	120200	122300	119500	87621	10601430200	5162993073300	42775419	STK
241560	KR7241560002	두산밥캣	KOSPI		51500	2	-800	-1.53	51700	53500	51200	165944	8599732500	5162832049000	100249166	STK
034220	KR7034220004	LG디스플레이	KOSPI		10260	2	-190	-1.82	10300	10350	10170	1253659	12848065040	5130000000000	500000000	STK
028050	KR7028050003	삼성엔지니어링	KOSPI		26100	1	50	0.19	25650	26700	25200	1171981	30508901350	5115600000000	196000000	STK
251270	KR7251270005	넷마블	KOSPI		57700	2	-2100	-3.51	59000	59400	57300	113893	6616567700	4959517065400	85953502	STK
005070	KR7005070008	코스모신소재	KOSPI		151800	2	-5100	-3.25	155200	156500	151300	139280	21295502300	4935132760800	32510756	STK
377300	KR7377300009	카카오페이	KOSPI		36700	2	-550	-1.48	36850	37350	36700	181144	6675568450	4930211683100	134338193	STK
047810	KR7047810007	한국항공우주	KOSPI		49950	2	-650	-1.28	50100	50400	49800	413264	20657302650	4868881594650	97475107	STK
454910	KR7454910001	두산로보틱스	KOSPI		74700	2	-5700	-7.09	75600	78000	74300	2126072	160859511800	4842052506000	64819980	STK
097950	KR7097950000	CJ제일제당	KOSPI		321000	2	-2500	-0.77	320000	324000	318000	36957	11862520000	4832393706000	15054186	STK
361610	KR7361610009	SK아이이테크놀로지	KOSPI		66100	2	-2000	-2.94	67200	67500	65700	200755	13277367300	4712770831200	71297592	STK
006800	KR7006800007	미래에셋증권	KOSPI		7900	2	-10	-0.13	7830	8070	7820	448000	3571018800	4702999623200	595316408	STK
078930	KR7078930005	GS	KOSPI		50500	1	2600	5.43	47450	51300	47400	306513	15477068600	4692226589000	92915378	STK
011070	KR7011070000	LG이노텍	KOSPI		197400	2	-1100	-0.55	195700	199500	192700	112745	22136966000	4671886921800	23667107	STK
009830	KR7009830001	한화솔루션	KOSPI		27150	3	0	0.0	27050	27650	27050	511043	13943546350	4666882352400	171892536	STK
302440	KR7302440003	SK바이오사이언스	KOSPI		59700	1	300	0.51	59400	59900	58900	57223	3399888200	4586616675000	76827750	STK
032640	KR7032640005	LG유플러스	KOSPI		9800	2	-30	-0.31	9780	9870	9770	847896	8315802660	4278791337800	436611361	STK
004020	KR7004020004	현대제철	KOSPI		31950	1	200	0.63	31600	32350	31600	251272	8067908150	4263592830750	133445785	STK
